Time,TIME_STAMP_s,TIME_STAMP_ms,OR_TIME_STAMP_s,OR_TIME_STAMP_ms,COUNTER_MEMS,INTERPOLATED_MEM,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY
0.0000,0.0000,0.0000,0.0000,172.0000,15.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9258,0.2695,0.0468,-50.1667,-11.6667
62.5000,0.0000,62.5000,0.0000,235.0000,0.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9455,0.2735,0.0390,-50.5000,-11.6667
125.0000,0.0000,125.0000,0.0000,298.0000,1.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9415,0.2695,0.0508,-50.8333,-11.5000
187.5000,0.0000,187.5000,0.0000,360.0000,2.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2735,0.0625,-51.0000,-11.5000
250.0000,0.0000,250.0000,0.0000,423.0000,3.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9180,0.2695,0.0508,-51.3333,-11.3333
312.5000,0.0000,312.5000,0.0000,486.0000,4.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2695,0.0625,-51.5000,-11.3333
375.0000,0.0000,375.0000,0.0000,549.0000,5.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9258,0.2735,0.0508,-51.6667,-11.1667
437.5000,0.0000,437.5000,0.0000,612.0000,6.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9377,0.2773,0.0587,-50.8333,-11.1667
500.0000,0.0000,500.0000,0.0000,674.0000,7.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9337,0.2657,0.0587,-51.0000,-11.1667
562.5000,0.0000,562.5000,0.0000,737.0000,8.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9298,0.2695,0.0547,-50.1667,-11.0000
625.0000,0.0000,625.0000,0.0000,800.0000,9.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9455,0.2695,0.0547,-50.5000,-11.0000
687.5000,0.0000,687.5000,0.0000,863.0000,10.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2695,0.0508,-49.6667,-11.0000
750.0000,0.0000,750.0000,0.0000,926.0000,11.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9493,0.2657,0.0587,-50.1667,-11.0000
812.5000,0.0000,812.5000,0.0000,989.0000,12.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9415,0.2695,0.0508,-50.3333,-11.0000
875.0000,0.0000,875.0000,1.0000,52.0000,13.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9610,0.2773,0.0468,-50.6667,-12.0000
937.5000,0.0000,937.5000,1.0000,115.0000,14.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2695,0.0547,-49.8333,-12.8333
1000.0000,1.0000,0.0000,1.0000,178.0000,15.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2695,0.0508,-50.1667,-12.6667
1062.5000,1.0000,62.5000,1.0000,241.0000,0.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9377,0.2852,0.0508,-50.5000,-13.5000
1125.0000,1.0000,125.1000,1.0000,304.0000,1.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9220,0.2735,0.0508,-49.8333,-13.3333
