title:Psychopy_cris_classical_ec_h_2022-10-12T140643.114157, start timestamp:1665608803.039285, stop timestamp:1665608864.069921, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7817      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665608803.039285,1665608803.039031,72.000000,0.000000,4311.282227,4313.846191,4305.769043,4306.025879,4281.282227,4282.307617,4292.692383,4315.897461,4301.025879,4285.384766,4467.307617,4390.512695,4399.871582,4441.794922,2413.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.047093,1665608803.046740,73.000000,0.000000,4317.051270,4319.743652,4319.487305,4312.179688,4290.128418,4287.948730,4305.769043,4327.948730,4306.922852,4293.846191,4479.102539,4392.563965,4420.897461,4450.897461,2389.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.054901,1665608803.054648,74.000000,0.000000,4302.563965,4310.769043,4307.436035,4305.641113,4290.384766,4290.769043,4302.307617,4317.436035,4293.077148,4280.384766,4464.871582,4380.769043,4408.333496,4435.000000,2692.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.062710,1665608803.062457,75.000000,0.000000,4291.153809,4294.230957,4287.436035,4295.128418,4280.769043,4290.769043,4295.641113,4307.563965,4288.077148,4268.717773,4454.615234,4371.153809,4390.512695,4421.666504,2748.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.070518,1665608803.070365,76.000000,0.000000,4296.922852,4293.589844,4290.256348,4292.436035,4278.205078,4286.153809,4299.615234,4313.205078,4297.948730,4273.461426,4463.974121,4373.717773,4394.102539,4428.205078,2553.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.078327,1665608803.078173,77.000000,0.000000,4292.307617,4298.333496,4285.384766,4289.615234,4277.436035,4277.948730,4285.384766,4296.666504,4283.846191,4262.820313,4450.769043,4363.333496,4387.948730,4420.000000,2102.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.086135,1665608803.086082,78.000000,0.000000,4278.974121,4301.794922,4269.487305,4288.589844,4273.333496,4276.282227,4266.922852,4275.512695,4259.102539,4246.794922,4429.230957,4348.333496,4366.538574,4401.153809,2692.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.093944,1665608803.093890,79.000000,0.000000,4288.846191,4309.743652,4280.897461,4297.179688,4282.179688,4284.871582,4281.794922,4287.820313,4270.769043,4263.077148,4446.282227,4360.769043,4374.102539,4412.692383,2748.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.101752,1665608803.101799,80.000000,0.000000,4308.461426,4318.589844,4303.846191,4308.846191,4292.307617,4286.282227,4293.589844,4294.230957,4288.589844,4279.871582,4466.538574,4376.410156,4401.538574,4437.179688,2553.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665608803.109561,1665608803.109607,81.000000,0.000000,4304.487305,4322.307617,4304.358887,4311.282227,4282.692383,4278.589844,4278.717773,4285.000000,4279.871582,4267.948730,4457.436035,4373.974121,4395.641113,4437.051270,2102.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
