title:Psychopy_Rahul_Speakers_Blink, start timestamp:1665722274.731766, stop timestamp:1665722335.746461, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7815      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665722274.731766,1665722274.731870,48.000000,0.000000,4282.820313,4297.307617,4294.615234,4298.077148,4294.358887,4289.230957,4285.641113,4304.487305,4291.666504,4277.436035,4442.436035,4464.487305,4335.769043,4412.179688,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.739574,1665722274.739579,49.000000,0.000000,4283.717773,4297.692383,4295.384766,4310.769043,4295.384766,4293.717773,4287.692383,4306.153809,4290.000000,4272.179688,4437.179688,4463.717773,4334.487305,4408.589844,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.747382,1665722274.747387,50.000000,0.000000,4278.333496,4292.820313,4286.922852,4313.333496,4298.205078,4287.436035,4288.846191,4306.282227,4287.820313,4268.205078,4434.871582,4457.563965,4330.769043,4404.615234,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.755191,1665722274.755096,51.000000,0.000000,4276.282227,4290.897461,4282.436035,4298.974121,4295.897461,4286.538574,4285.897461,4302.307617,4282.051270,4269.615234,4442.948730,4451.025879,4329.871582,4405.512695,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.762999,1665722274.762904,52.000000,0.000000,4278.846191,4288.077148,4288.717773,4290.769043,4291.922852,4295.000000,4288.461426,4300.641113,4280.256348,4267.051270,4440.512695,4451.794922,4329.358887,4405.769043,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.770807,1665722274.770613,53.000000,0.000000,4281.666504,4289.615234,4296.025879,4305.897461,4299.102539,4299.871582,4297.563965,4304.487305,4287.563965,4271.922852,4438.846191,4462.692383,4334.871582,4407.948730,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.778616,1665722274.778521,54.000000,0.000000,4282.051270,4296.794922,4294.487305,4319.102539,4302.307617,4300.000000,4300.384766,4306.025879,4288.589844,4266.538574,4455.769043,4469.615234,4341.794922,4410.769043,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.786424,1665722274.786330,55.000000,0.000000,4281.794922,4299.230957,4291.410156,4311.153809,4296.025879,4302.307617,4297.692383,4303.333496,4285.384766,4259.743652,4455.641113,4465.512695,4337.051270,4405.512695,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.794233,1665722274.794238,56.000000,0.000000,4277.307617,4288.846191,4293.717773,4297.307617,4295.256348,4301.922852,4296.153809,4307.179688,4292.948730,4276.282227,4437.051270,4464.871582,4329.487305,4402.692383,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.802041,1665722274.802047,57.000000,0.000000,4278.717773,4285.000000,4296.794922,4304.358887,4299.230957,4299.230957,4301.922852,4313.589844,4300.512695,4292.307617,4444.487305,4476.666504,4336.410156,4413.589844,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.809849,1665722274.809955,58.000000,0.000000,4294.871582,4299.230957,4302.563965,4319.230957,4296.153809,4297.563965,4306.666504,4312.820313,4298.077148,4283.461426,4458.205078,4488.717773,4346.025879,4422.820313,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.817658,1665722274.817763,59.000000,0.000000,4296.922852,4302.179688,4303.077148,4312.179688,4293.205078,4296.410156,4299.102539,4305.897461,4295.512695,4269.743652,4450.000000,4483.333496,4342.948730,4412.692383,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.825466,1665722274.825672,60.000000,0.000000,4282.307617,4290.769043,4296.538574,4303.461426,4298.589844,4297.692383,4292.307617,4301.538574,4293.589844,4276.282227,4443.077148,4473.077148,4337.307617,4405.128418,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.833274,1665722274.833480,61.000000,0.000000,4287.436035,4295.512695,4296.666504,4310.897461,4300.641113,4296.282227,4295.512695,4301.538574,4287.179688,4282.948730,4444.871582,4477.436035,4339.102539,4413.974121,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.841083,1665722274.841389,62.000000,0.000000,4298.589844,4306.025879,4301.410156,4315.128418,4299.358887,4294.871582,4298.717773,4302.051270,4281.922852,4266.153809,4449.230957,4483.333496,4343.974121,4419.230957,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.848891,1665722274.849197,63.000000,0.000000,4285.769043,4299.102539,4294.358887,4310.000000,4307.051270,4295.641113,4297.179688,4299.102539,4279.615234,4253.205078,4453.205078,4472.179688,4338.717773,4409.871582,0.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.856700,1665722274.857105,64.000000,0.000000,4274.871582,4292.436035,4289.487305,4308.205078,4313.205078,4296.153809,4288.333496,4294.487305,4277.692383,4266.922852,4446.153809,4458.717773,4326.153809,4401.794922,1736.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.864508,1665722274.864914,65.000000,0.000000,4282.948730,4296.025879,4296.025879,4309.487305,4303.333496,4293.333496,4280.641113,4291.922852,4277.948730,4273.333496,4436.025879,4459.871582,4325.256348,4403.461426,1940.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.872316,1665722274.872622,66.000000,0.000000,4287.563965,4297.692383,4294.871582,4311.282227,4292.179688,4293.717773,4287.307617,4292.563965,4280.384766,4267.179688,4437.820313,4464.358887,4334.743652,4408.077148,2353.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.880125,1665722274.880431,67.000000,0.000000,4286.794922,4296.794922,4292.563965,4312.948730,4297.179688,4298.974121,4295.256348,4297.692383,4280.256348,4274.487305,4446.794922,4471.025879,4338.846191,4413.333496,2064.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.887933,1665722274.888139,68.000000,0.000000,4290.897461,4296.794922,4298.333496,4310.897461,4304.615234,4303.461426,4297.692383,4301.794922,4284.102539,4284.230957,4448.461426,4478.077148,4337.436035,4414.743652,1664.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.895742,1665722274.895948,69.000000,0.000000,4288.846191,4297.307617,4300.769043,4308.461426,4306.922852,4303.846191,4299.743652,4299.487305,4285.769043,4277.179688,4438.333496,4471.410156,4333.846191,4410.641113,2237.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.903550,1665722274.903656,70.000000,0.000000,4278.589844,4297.948730,4294.230957,4310.000000,4307.051270,4301.410156,4298.589844,4298.461426,4279.358887,4253.589844,4430.769043,4461.282227,4329.102539,4407.436035,2314.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665722274.911358,1665722274.911465,71.000000,0.000000,4281.538574,4301.153809,4294.871582,4317.436035,4303.846191,4297.820313,4297.179688,4307.563965,4284.487305,4245.897461,4442.179688,4467.563965,4332.436035,4410.384766,1756.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
