title:Psychopy_Andrew_Earphones_Closed, start timestamp:1665770644.087256, stop timestamp:1665770705.094190, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665770644.087256,1665770644.088012,85.000000,0.000000,4296.282227,4283.589844,4267.307617,4267.051270,4277.436035,4265.641113,4276.922852,4288.333496,4264.102539,4239.615234,4368.717773,4287.692383,4356.410156,4377.051270,1234.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.095065,1665770644.095920,86.000000,0.000000,4326.282227,4296.153809,4283.205078,4276.666504,4277.820313,4264.743652,4278.589844,4283.846191,4264.487305,4248.077148,4384.487305,4291.153809,4388.333496,4406.410156,2725.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.102873,1665770644.103729,87.000000,0.000000,4351.666504,4309.487305,4303.589844,4289.871582,4277.820313,4263.717773,4282.563965,4292.436035,4270.384766,4252.179688,4405.512695,4299.230957,4407.820313,4431.666504,2301.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.110681,1665770644.111637,88.000000,0.000000,4368.717773,4317.179688,4315.128418,4298.077148,4279.615234,4265.256348,4282.051270,4300.000000,4280.128418,4261.153809,4417.692383,4305.897461,4418.589844,4447.692383,3056.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.118490,1665770644.119446,89.000000,0.000000,4381.666504,4320.000000,4318.846191,4298.717773,4279.230957,4265.000000,4281.666504,4298.077148,4284.230957,4269.615234,4427.563965,4309.743652,4441.410156,4468.205078,1234.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.126298,1665770644.127154,90.000000,0.000000,4386.153809,4314.871582,4322.820313,4295.897461,4277.436035,4261.538574,4279.487305,4297.692383,4283.717773,4267.948730,4433.589844,4310.256348,4455.769043,4481.666504,2725.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.134107,1665770644.134963,91.000000,0.000000,4389.358887,4312.692383,4326.666504,4293.846191,4277.179688,4261.666504,4271.794922,4298.717773,4281.410156,4263.846191,4430.128418,4310.897461,4444.487305,4478.333496,2301.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.141915,1665770644.142671,92.000000,0.000000,4399.615234,4324.743652,4330.000000,4298.461426,4274.615234,4262.563965,4265.000000,4293.333496,4276.538574,4262.948730,4425.769043,4310.897461,4441.025879,4481.410156,3056.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665770644.149723,1665770644.150480,93.000000,0.000000,4400.128418,4321.282227,4328.717773,4297.179688,4268.589844,4255.256348,4264.230957,4291.025879,4275.384766,4264.871582,4429.871582,4315.000000,4458.974121,4493.333496,1234.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,75.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,1.000000,0.139848,-1.026634,-1.407491,0.709781,1.000000,0.039292,3.337178,2.970610,12.299853,0.338182,1.000000,0.435440,90.812439,-80.418571,301.740692,1.000000,0.697059,0.303839,0.085256,0.260020,1.000000,0.423916,5.435922,-4.389390,18.371691,1.000000,0.265949,0.265949,0.000000,1.000000
1665770644.157532,1665770644.158188,94.000000,0.000000,4385.128418,4299.358887,4318.589844,4284.230957,4263.589844,4247.179688,4267.307617,4294.743652,4276.538574,4266.410156,4435.128418,4319.102539,4462.307617,4488.974121,2725.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
