title:Psychopy_Andrew_Speakers_Blinking, start timestamp:1665769817.155127, stop timestamp:1665769878.162150, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665769817.155127,1665769817.155452,38.000000,0.000000,4292.051270,4298.846191,4301.538574,4322.563965,4292.179688,4305.256348,4304.615234,4297.179688,4295.128418,4269.487305,4456.794922,4462.563965,4335.000000,4408.717773,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.162936,1665769817.163160,39.000000,0.000000,4298.974121,4294.487305,4300.384766,4319.358887,4299.102539,4301.538574,4307.820313,4307.436035,4298.589844,4289.743652,4471.025879,4465.128418,4357.436035,4417.051270,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.170744,1665769817.170969,40.000000,0.000000,4288.077148,4287.692383,4295.641113,4314.358887,4303.205078,4301.282227,4312.179688,4313.974121,4302.820313,4298.974121,4479.871582,4464.615234,4358.974121,4414.230957,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.178553,1665769817.178677,41.000000,0.000000,4277.051270,4283.846191,4294.358887,4310.000000,4307.051270,4308.077148,4312.820313,4311.666504,4304.358887,4297.692383,4475.512695,4464.102539,4345.256348,4409.102539,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.186361,1665769817.186586,42.000000,0.000000,4282.820313,4283.333496,4291.282227,4313.974121,4312.563965,4311.410156,4313.333496,4312.948730,4299.615234,4298.846191,4477.307617,4465.641113,4349.230957,4410.000000,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.194169,1665769817.194394,43.000000,0.000000,4282.692383,4278.846191,4285.512695,4313.333496,4304.487305,4306.922852,4311.025879,4311.922852,4295.000000,4292.820313,4475.000000,4464.102539,4351.153809,4403.846191,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.201978,1665769817.202303,44.000000,0.000000,4275.897461,4274.615234,4286.153809,4307.436035,4302.051270,4304.743652,4304.230957,4303.333496,4294.358887,4280.256348,4464.615234,4463.205078,4343.717773,4401.025879,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.209786,1665769817.210111,45.000000,0.000000,4280.769043,4280.256348,4291.922852,4311.025879,4308.846191,4312.692383,4303.846191,4303.974121,4295.256348,4280.384766,4467.820313,4467.051270,4346.538574,4412.563965,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.217595,1665769817.218019,46.000000,0.000000,4285.256348,4281.282227,4296.282227,4316.794922,4301.538574,4316.025879,4309.615234,4311.282227,4297.051270,4285.897461,4477.436035,4470.641113,4348.717773,4416.025879,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665769817.225403,1665769817.225828,47.000000,0.000000,4285.256348,4280.384766,4301.282227,4324.358887,4298.077148,4303.205078,4310.897461,4310.256348,4295.512695,4282.307617,4473.846191,4468.717773,4341.025879,4407.179688,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
