title:Psychopy_Kevin_Speakers_Closed, start timestamp:1665771848.362062, stop timestamp:1665771909.369143, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665771848.362062,1665771848.361965,73.000000,0.000000,4236.410156,4261.794922,4284.230957,4298.205078,4271.666504,4287.179688,4292.179688,4294.615234,4293.333496,4264.358887,4460.256348,4482.563965,4352.436035,4393.974121,2396.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.369871,1665771848.369874,74.000000,0.000000,4234.743652,4256.410156,4285.512695,4290.897461,4261.538574,4280.256348,4290.512695,4291.153809,4293.846191,4255.384766,4459.615234,4478.589844,4344.743652,4392.307617,2570.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.377679,1665771848.377682,75.000000,0.000000,4240.384766,4257.692383,4289.358887,4289.615234,4266.282227,4280.128418,4283.717773,4290.256348,4287.563965,4254.743652,4453.589844,4479.230957,4336.922852,4392.563965,2466.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.385487,1665771848.385591,76.000000,0.000000,4251.538574,4260.641113,4292.179688,4291.410156,4266.794922,4276.282227,4278.205078,4289.487305,4281.025879,4266.538574,4451.153809,4480.000000,4345.128418,4396.794922,2638.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.393296,1665771848.393399,77.000000,0.000000,4264.102539,4270.769043,4297.948730,4299.102539,4266.025879,4266.922852,4276.666504,4283.846191,4282.436035,4268.205078,4459.230957,4482.051270,4360.641113,4408.333496,3321.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.401104,1665771848.401307,78.000000,0.000000,4273.461426,4287.051270,4309.358887,4312.051270,4280.128418,4266.538574,4277.179688,4280.897461,4277.820313,4264.615234,4468.717773,4485.769043,4363.589844,4419.102539,2570.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.408913,1665771848.409116,79.000000,0.000000,4277.051270,4296.922852,4314.871582,4317.051270,4290.512695,4270.256348,4278.589844,4282.179688,4266.666504,4268.717773,4471.153809,4489.102539,4363.077148,4422.436035,2466.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.416721,1665771848.417024,80.000000,0.000000,4278.974121,4300.000000,4315.128418,4315.384766,4290.128418,4265.641113,4277.820313,4280.256348,4263.717773,4262.307617,4472.692383,4498.974121,4368.205078,4424.102539,2638.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.424529,1665771848.424833,81.000000,0.000000,4271.922852,4295.641113,4316.666504,4311.153809,4291.410156,4262.948730,4276.153809,4278.077148,4262.820313,4249.487305,4472.307617,4503.717773,4367.179688,4423.205078,3321.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665771848.432338,1665771848.432541,82.000000,0.000000,4258.205078,4285.000000,4311.794922,4302.051270,4287.692383,4273.974121,4284.358887,4283.461426,4264.871582,4253.461426,4472.051270,4497.820313,4365.384766,4417.179688,2570.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
