title:Psychopy_Vishwadeep_Earphones_Blinking, start timestamp:1665773036.558674, stop timestamp:1665773097.581383, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7816      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665773036.558674,1665773036.559326,50.000000,0.000000,4264.871582,4249.743652,4293.589844,4282.948730,4296.410156,4278.717773,4288.717773,4297.051270,4274.871582,4244.615234,4460.000000,4468.077148,4309.358887,4404.358887,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.566483,1665773036.567234,51.000000,0.000000,4263.717773,4250.512695,4290.641113,4288.717773,4296.666504,4281.025879,4286.538574,4294.743652,4279.743652,4250.512695,4458.846191,4465.512695,4312.692383,4409.102539,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.574291,1665773036.575043,52.000000,0.000000,4265.641113,4248.461426,4291.282227,4284.358887,4293.461426,4288.846191,4294.615234,4287.179688,4281.282227,4251.922852,4457.051270,4473.974121,4312.692383,4411.922852,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.582100,1665773036.582751,53.000000,0.000000,4273.333496,4249.743652,4293.589844,4283.846191,4294.230957,4290.512695,4293.974121,4288.077148,4286.922852,4247.563965,4460.897461,4478.461426,4311.922852,4412.307617,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.589908,1665773036.590560,54.000000,0.000000,4271.794922,4250.769043,4292.692383,4292.948730,4295.641113,4287.948730,4288.974121,4295.128418,4290.000000,4244.230957,4460.641113,4475.512695,4311.666504,4410.000000,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.597716,1665773036.598268,55.000000,0.000000,4269.487305,4252.563965,4294.871582,4295.000000,4294.102539,4289.487305,4295.641113,4292.307617,4285.897461,4254.743652,4459.230957,4477.179688,4318.205078,4406.922852,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.605525,1665773036.606077,56.000000,0.000000,4275.128418,4252.179688,4291.922852,4292.563965,4298.077148,4296.153809,4302.179688,4294.358887,4288.333496,4267.179688,4461.538574,4479.358887,4327.051270,4406.538574,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.613333,1665773036.613785,57.000000,0.000000,4271.153809,4242.179688,4282.692383,4294.230957,4297.820313,4296.153809,4297.179688,4307.692383,4298.589844,4255.256348,4462.307617,4477.948730,4323.205078,4407.563965,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.621142,1665773036.621693,58.000000,0.000000,4265.256348,4232.307617,4283.589844,4294.102539,4284.487305,4291.025879,4292.307617,4310.512695,4295.256348,4244.487305,4460.128418,4477.692383,4315.512695,4405.641113,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665773036.628950,1665773036.629502,59.000000,0.000000,4275.897461,4231.922852,4290.769043,4297.948730,4281.666504,4293.205078,4295.512695,4309.487305,4282.948730,4259.102539,4461.666504,4485.384766,4318.205078,4408.974121,0.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
