title:Psychopy_Shane_Earphones_Blinking, start timestamp:1665780221.570651, stop timestamp:1665780282.577763, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:86, sampling rate:eeg_128;pm_2, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1665780221.570651,1665780221.571310,107.000000,0.000000,4295.641113,4277.307617,4296.025879,4311.538574,4300.256348,4333.717773,4279.230957,4291.410156,4296.538574,4278.205078,4457.051270,4472.051270,4360.384766,4394.743652,2636.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.578460,1665780221.579018,108.000000,0.000000,4299.358887,4276.666504,4303.461426,4311.025879,4305.000000,4333.333496,4285.384766,4300.897461,4303.717773,4279.102539,4461.794922,4478.461426,4362.051270,4400.641113,2833.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.586268,1665780221.586827,109.000000,0.000000,4309.615234,4287.179688,4313.974121,4312.307617,4300.384766,4334.230957,4295.769043,4313.589844,4309.743652,4281.025879,4470.512695,4491.153809,4372.948730,4412.307617,3074.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.594077,1665780221.594535,110.000000,0.000000,4314.230957,4298.974121,4320.384766,4311.922852,4296.153809,4338.205078,4298.717773,4321.794922,4309.615234,4280.769043,4480.000000,4501.538574,4382.051270,4412.051270,2661.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.601885,1665780221.602344,111.000000,0.000000,4310.000000,4294.102539,4316.666504,4308.717773,4296.282227,4342.307617,4296.922852,4317.051270,4311.153809,4281.410156,4476.025879,4498.333496,4381.666504,4407.563965,2636.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.609694,1665780221.610052,112.000000,0.000000,4309.487305,4282.563965,4303.974121,4306.922852,4294.230957,4342.307617,4293.205078,4310.512695,4310.512695,4278.461426,4463.717773,4491.153809,4372.820313,4409.230957,2833.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.617502,1665780221.617961,113.000000,0.000000,4309.102539,4280.641113,4294.487305,4306.538574,4293.077148,4345.769043,4290.128418,4306.666504,4302.820313,4277.563965,4459.871582,4491.025879,4366.025879,4411.538574,3074.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.625310,1665780221.625769,114.000000,0.000000,4303.717773,4281.922852,4298.077148,4303.589844,4300.256348,4350.512695,4291.922852,4303.077148,4302.307617,4281.025879,4460.512695,4489.358887,4364.102539,4410.769043,2661.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.633119,1665780221.633677,115.000000,0.000000,4300.641113,4279.230957,4303.589844,4304.743652,4307.436035,4350.256348,4296.153809,4300.256348,4305.000000,4278.589844,4459.743652,4482.820313,4362.307617,4407.692383,2636.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665780221.640927,1665780221.641486,116.000000,0.000000,4299.487305,4276.922852,4298.077148,4309.871582,4306.410156,4351.410156,4296.538574,4298.205078,4299.487305,4268.333496,4460.897461,4476.666504,4358.333496,4401.153809,2833.000000,2.000000,50.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
